Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Mileage
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,18.5
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,21.0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,20.7
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,18.9
swift,2014,4.60,6.87,42450,Diesel,Dealer,Manual,0,22.0
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,24.3
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,20.5
s cross,2015,6.50,8.61,33429,Diesel,Dealer,Manual,0,23.6
alto 800,2017,3.60,3.60,2135,Petrol,Dealer,Manual,0,22.7
baleno,2017,6.10,7.87,15000,Petrol,Dealer,Automatic,0,21.4
honda city,2016,7.50,10.25,30000,Petrol,Dealer,Manual,0,17.8
creta,2018,12.90,15.20,12000,Diesel,Dealer,Automatic,0,19.6
fortuner,2017,23.00,32.00,40000,Diesel,Dealer,Automatic,0,15.0
innova,2016,14.25,20.45,35000,Diesel,Dealer,Manual,0,14.8
ecosport,2017,7.90,10.20,22000,Diesel,Dealer,Manual,0,22.0
kwid,2019,4.20,5.10,8000,Petrol,Dealer,Manual,0,23.0
scorpio,2017,10.50,15.80,35000,Diesel,Dealer,Manual,0,15.4
figo,2016,3.90,6.00,36000,Diesel,Dealer,Manual,0,25.5
polo,2015,4.50,7.20,42000,Petrol,Dealer,Manual,0,18.8
i10,2015,3.10,5.20,35000,Petrol,Dealer,Manual,0,20.3
